config,p,threshold,seed,tx_entries,tx_busts,mk_eq_busts,mk_eq_rate,advantage,z_score
C1,1.00,3,42,399976,812,963.8,0.2410,-15.75,-3.6054
C1,1.00,4,42,197068,393,585.7,0.2972,-32.90,-6.1662
C1,1.00,5,42,97188,190,395.9,0.4073,-52.00,-8.5179
C1,1.00,6,42,47730,89,296.8,0.6219,-70.02,-10.6024
C1,1.00,7,42,23552,41,252.7,1.0729,-83.77,-12.3908
C2,0.90,3,42,399976,812,945.0,0.2363,-14.07,-3.1764
C2,0.90,4,42,197068,393,562.5,0.2855,-30.14,-5.4913
C2,0.90,5,42,97188,190,373.6,0.3844,-49.15,-7.7456
C2,0.90,6,42,47730,89,282.3,0.5915,-68.48,-10.0523
C2,0.90,7,42,23552,41,233.7,0.9921,-82.45,-11.6591
C3,0.75,3,42,399976,812,915.2,0.2289,-11.30,-2.4914
C3,0.75,4,42,197068,393,532.4,0.2701,-26.18,-4.5870
C3,0.75,5,42,97188,190,343.0,0.3529,-44.60,-6.6353
C3,0.75,6,42,47730,89,249.2,0.5223,-64.30,-8.7295
C3,0.75,7,42,23552,41,202.8,0.8612,-79.79,-10.3911
C4,0.50,3,42,399976,812,852.8,0.2133,-4.83,-1.0115
C4,0.50,4,42,197068,393,476.2,0.2417,-17.48,-2.8262
C4,0.50,5,42,97188,190,283.2,0.2914,-32.92,-4.2909
C4,0.50,6,42,47730,89,194.1,0.4067,-54.15,-6.2557
C4,0.50,7,42,23552,41,146.3,0.6213,-71.98,-7.7105
C5,0.25,3,42,399976,812,808.6,0.2022,0.40,0.0797
C5,0.25,4,42,197068,393,423.3,0.2148,-7.17,-1.0635
C5,0.25,5,42,97188,190,231.9,0.2387,-18.08,-2.0440
C5,0.25,6,42,47730,89,141.3,0.2961,-37.04,-3.4534
C5,0.25,7,42,23552,41,92.0,0.3906,-55.43,-4.4278
C6,0.10,3,42,399976,812,784.5,0.1961,3.51,0.6893
C6,0.10,4,42,197068,393,400.3,0.2031,-1.83,-0.2605
C6,0.10,5,42,97188,190,200.0,0.2058,-5.01,-0.5079
C6,0.10,6,42,47730,89,112.2,0.2350,-20.64,-1.6340
C6,0.10,7,42,23552,41,66.0,0.2802,-37.88,-2.4196
C7,0.00,3,42,399976,812,763.8,0.1910,6.31,1.2152
C7,0.00,4,42,197068,393,380.4,0.1930,3.31,0.4532
C7,0.00,5,42,97188,190,184.2,0.1896,3.13,0.2980
C7,0.00,6,42,47730,89,93.8,0.1965,-5.13,-0.3561
C7,0.00,7,42,23552,41,46.6,0.1981,-12.11,-0.6041
C_BI,bidir,3,42,799182,1597,1721.4,0.2154,-7.23,-2.1624
C_BI,bidir,4,42,393578,780,953.2,0.2422,-18.17,-4.1660
C_BI,bidir,5,42,193708,377,573.0,0.2958,-34.21,-6.3683
C_BI,bidir,6,42,95121,186,386.4,0.4062,-51.86,-8.3882
C_BI,bidir,7,42,46853,91,295.6,0.6309,-69.21,-10.4266
